"","countyurl","benev","comp","county_en","prefecture_en","province_en","county_cn","prefecture_cn","cntygb00","macroregion","countytype","linksall","linksint","links_chtxt","links_include","X2009_gdppc_cny","X2010_illiterateprop","sec_2011","mayor_gender","mayor_birth","mayor_2011","mayor_tenure2","mayor_edulevel","mayor_status","pref_ps_2011","pref_ps_edulevel","pref_2010_gdppc","itemploy","county_mediaexp","mayor_first","mayor_last","sec_first","sec_last","pref_ps_first","pref_ps_last","mayor_age","mayor_promote"
"46","www.pxzfxx.gov.cn",0.0162932790224033,0.0509164969450102,"Pei","Xuzhou","Jiangsu","沛县","徐州市",320322,"East","County",2034,1930,982,1,19839.68254,5.659999847,2,"M",1964,2,2,3,"in office",2,4,34084,177,55990.11374,0,0,0,0,0,0,47,0
"47","www.qianjiang.gov.cn",0.425051334702259,0.0277207392197125,"Qianjiang","Chongqing","Chongqing","黔江区","重庆市辖区",500114,"West","District",5221,4855,974,1,16142.85714,5.539999962,2,"M",1964,1,1,5,"in office",2,4,27596,124,23060.70358,1,0,0,0,0,0,47,0
"49","www.qingzhou.gov.cn",0.119241192411924,0.235772357723577,"Qingzhou","Weifang","Shandong","青州市","潍坊市",370781,"East","County",2960,2861,738,1,33028.60286,4.449999809,2,"M",1968,2,2,4,"in office",3,3,34723,80,62354.01372,0,0,0,0,0,1,43,0
"51","www.rongjiang.gov.cn",0.29004329004329,0.0173160173160173,"Rongjiang","Qiandongnan","Guizhou","榕江县","黔东南苗族侗族自治州",522632,"West","County",5097,4821,231,1,4741.176471,14.55000019,2,"M",1960,2,6,3,"retired_demoted",2,4,8839,28,9731.252952,0,0,0,0,0,0,51,0
"52","www.runzhou.gov.cn",0.0760760760760761,0.184184184184184,"Runzhou","Zhenjiang","Jiangsu","润州区","镇江市",321111,"East","District",3089,2864,999,1,48038.43074,2.710000038,2,"F",1966,1,1,4,"in office",2,3,63280,256,26877.40479,1,0,0,0,0,0,45,0
"53","www.shhp.gov.cn",0.0151006711409396,0.149328859060403,"Huangpu","Shanghai","Shanghai","黄浦区","上海市辖区",310101,"East","District",8229,7830,596,1,121628.7186,1.860000014,1,"M",1965,2,4,5,"retired_demoted",2,4,76074,432,258390.2575,0,0,1,0,0,0,46,0
"54","www.sxmx.gov.cn",0.2294887039239,0.079667063020214,"Mei","Baoji","Shaanxi","眉县","宝鸡市",610326,"West","County",6007,5713,841,1,15000,6.039999962,3,"M",1965,2,3,4,"in office",2,6,26124,135,23271.74227,0,0,0,1,0,0,46,0
"55","www.taihe.gov.cn",0.0388151174668029,0.0306435137895812,"Taihe","Fuyang","Anhui","太和县","阜阳市",341222,"Central","County",99739,96068,979,1,5570.414201,9.149999619,2,"M",1966,2,2,4,"in office",2,3,9068,105,39422.00556,0,0,0,0,0,0,45,0
"56","www.taijiang.gov.cn",0.378531073446328,0.152542372881356,"Taijiang","Fuzhou","Fujian","台江区","福州市",350103,"East","District",38432,37607,708,1,63943.75,0.769999981,2,"M",1964,1,1,3,"in office",3,3,44667,614,43093.75429,1,0,0,0,0,1,47,0
"58","www.tashkurgan.cn",0.0682451253481894,0.084958217270195,"Taxkorgan Tajik","Kashgar","Xinjiang","塔什库尔干塔吉克自治县","喀什地区",653131,"West","County",57904,54989,718,1,13075,3.460000038,1,"M",1964,2,3,2,"in office",1,4,8748,1,4076.283069,0,0,1,0,1,0,47,0
"59","www.tjhd.gov.cn",0.206382978723404,0.162765957446809,"Hedong","Tianjin","Tianjin","河东区","天津市辖区",120102,"East","District",14382,13588,940,1,10486.11111,1.679999948,3,"M",1960,3,2,4,"promotion",2,4,72994,651,19881.42744,0,1,0,1,0,0,51,1
"60","www.tyxd.gov.cn",0.397193410616229,0.102501525320317,"Xiaodian","Taiyuan","Shanxi","小店区","太原市",140105,"Central","District",2764,2623,1639,1,24609.67301,1.059999943,2,"M",1969,1,1,4,"in office",2,3,50225,633,53218.68744,1,0,0,0,0,0,42,0
"62","www.weixin.gov.cn",0.131849315068493,0.294520547945205,"Weixin","Zhaotong","Yunnan","威信县","昭通市",532130,"West","County",41384,36964,584,1,4146.341463,6.139999866,2,"M",1966,1,1,NA,"in office",2,3,7193,20,8921.145914,1,0,0,0,0,0,45,0
"63","www.ww.gov.cn",0.128915662650602,0.0734939759036145,"Wuwei","Chaohu","Anhui","无为县","巢湖市",341422,"Central","County",132365,119017,830,1,12573.23944,9.899999619,2,"M",1963,2,2,NA,"in office",3,4,16158,136,74765.29502,0,0,0,0,0,1,48,0
"64","www.wxcn.gov.cn",0.101449275362319,0.0483091787439614,"Nanchang","Wuxi","Jiangsu","南长区","无锡市",320203,"East","District",4917,4346,828,1,46875,1.899999976,2,"M",1968,1,1,3,"in office",NA,4,20166,328,33596.75598,1,0,0,0,NA,NA,43,0
"66","www.xiaoshan.gov.cn",0.219631901840491,0.301840490797546,"Xiaoshan","Hangzhou","Zhejiang","萧山区","杭州市",330181,"East","District",55046,49694,815,1,102927.5289,6.349999905,2,"M",1968,3,3,5,"promotion",2,4,69828,598,340121.1639,0,1,0,0,0,0,43,1
"67","www.xjwsx.gov.cn",0.288372093023256,0.322480620155039,"Uqturpan","Aksu","Xinjiang","乌什县","阿克苏地区",652927,"West","County",6520,6425,645,1,5723.809524,3.690000057,2,"M",NA,1,1,NA,"in office",2,3,15872,6,9368.436422,1,0,0,0,0,0,NA,0
"68","www.xuwen.gov.cn",0.55635987590486,0.21406411582213,"Xuwen","Zhanjiang","Guangdong","徐闻县","湛江市",440825,"East","County",14486,7126,967,1,9083.333333,4.110000134,2,"M",1968,2,5,4,"promotion",1,4,20081,68,18469.4653,0,0,0,0,1,0,43,1
"69","www.xzyl.gov.cn",0.520965692503177,0.275730622617535,"Yunlong","Xuzhou","Jiangsu","云龙区","徐州市",320303,"East","District",15439,15291,787,1,12068.96552,2.339999914,2,"F",NA,1,1,5,"in office",2,4,34084,191,7839.243063,1,0,0,0,0,0,NA,0
"70","www.yhq.gov.cn",0.0963855421686747,0.0746987951807229,"Youhao","Yichun","Heilongjiang","友好区","伊春市",230704,"Central","District",1364,1041,415,1,15362.01764,4.340000153,1,"M",NA,3,3,4,"in office",1,5,15924,14,3196.928343,0,1,1,0,1,0,NA,0
"71","www.yongchang.gov.cn",0.301130524152107,0.161356628982528,"Yongchang","Jinchang","Gansu","永昌县","金昌市",620321,"West","County",3593,3427,973,1,13250,4.829999924,2,"M",NA,2,3,2,"in office",3,4,43400,45,24912.17159,0,0,0,0,0,1,NA,0
"72","www.yuanling.gov.cn",0.173184357541899,0.127374301675978,"Yuanling","Huaihua","Hunan","沅陵县","怀化市",431222,"Central","County",77752,75820,895,1,11954.54545,4.28000021,2,"M",1962,2,4,3,"retired_demoted",2,4,14371,141,19983.01698,0,0,0,0,0,0,49,0
"73","www.yunmeng.gov.cn",0.125,0.07,"Yunmeng","Xiaogan","Hubei","云梦县","孝感市",420923,"Central","County",185365,162403,400,1,14244.2623,7.050000191,3,"M",1964,2,4,NA,"promotion",2,3,16630,104,24155.11296,0,0,0,1,0,0,47,1
"74","www.zaq.gov.cn",0.100636942675159,0.24203821656051,"Zhen'an","Dandong","Liaoning","振安区","丹东市",210604,"East","District",1272,1123,785,1,4868.421053,3.119999886,2,"M",1963,2,3,NA,"retired_demoted",2,4,29893,31,4636.622933,0,0,0,0,0,0,48,0
"75","www.zgts.gov.cn",0.095679012345679,0.515432098765432,"Tongshan","Xuzhou","Jiangsu","铜山县","徐州市",320323,"East","County",42021,40936,648,1,27266.93548,5.440000057,3,"M",NA,1,1,NA,"in office",2,4,34084,176,75729.32777,1,0,0,1,0,0,NA,0
"76","www.zhanyi.gov.cn",0.048062015503876,0.328682170542636,"Zhanyi","Qujing","Yunnan","沾益县","曲靖市",530328,"West","County",3053,2926,645,1,16638.09524,8.319999695,2,"M",1963,2,5,4,"retired_demoted",2,4,17236,35,36671.15744,0,0,0,0,0,0,48,0
"77","www.zhongjiang.gov.cn",0.471,0.159,"Zhongjiang","Deyang","Sichuan","中江县","德阳市",510623,"West","County",5419,5366,1000,1,9786.713287,4.840000153,3,"M",NA,3,3,NA,"promotion",1,4,25335,122,45196.89328,0,1,0,1,1,0,NA,1
"78","www.zjhy.gov.cn",0.134888438133874,0.141987829614604,"Huangyan","Taizhou","Zhejiang","黄岩区","台州市",331003,"East","District",10135,5796,986,1,32656.1185,8.220000267,2,"M",1962,1,1,3,"in office",2,2,41172,175,54087.62869,1,0,0,0,0,0,49,0
"79","www.zyhhg.gov.cn",0.553571428571429,0.12987012987013,"Honghuagang","Zunyi","Guizhou","红花岗区","遵义市",NA,"West","District",26146,24220,616,1,16073.41491,4,2,"M",1964,2,6,4,"promotion",1,4,14799,NA,52338.68678,0,0,0,0,1,0,47,1
"80","www.zzty.gov.cn",0.0640138408304498,0.0986159169550173,"Tianyuan","Zhuzhou","Hunan","天元区","株洲市",430211,"Central","District",36215,35590,578,1,77225.43353,0.649999976,2,"M",1962,3,5,NA,"promotion",2,2,33604,222,33836.89567,0,1,0,0,0,0,49,1
